date,GDP,ICT_Production,ICT_Investment,CCSI,BSI_Composite,Corporate_Loan_Rate,Equipment_Investment_Index,productivity_index,Exchange_Rate,BSI_6M_MA,GDP_12M_MA,Exchange_Rate_12M_Std,CCSI_3M_Momentum,ICT_Prod_6M_Momentum,Loan_Rate_Lag_3M,Ad_Sentiment_DI
2008-04-01,367818.8,25361.7,10234.7,85.0,85.33333333333333,6.91,70.3,95.7,,85.33333333333333,362418.0916666666,,-17.0,698.1000000000022,7.26,45.79090909090914
2008-05-01,368632.56666666665,25544.233333333334,10252.766666666666,81.23333333333333,85.33333333333333,6.96,69.15,95.7,,85.33333333333333,363642.8777777778,,-15.09999999999998,751.7333333333336,6.93,45.79090909090914
2008-06-01,369446.3333333333,25726.766666666663,10270.833333333334,77.46666666666667,85.33333333333333,7.04,70.0,95.7,,85.33333333333333,364819.51666666666,,-13.200000000000015,805.3666666666613,6.92,45.79090909090914
2008-07-01,370260.1,25909.3,10288.9,73.7,90.0,7.12,68.45,95.7,,86.1111111111111,365948.0083333333,,-11.299999999999995,859.0,6.91,45.79090909090914
2008-08-01,366096.1333333333,25570.766666666663,10278.7,92.3,84.0,7.3,71.19999999999999,95.7,,85.88888888888887,366534.3888888889,,11.066666666666665,416.6666666666642,6.96,45.79090909090914
2008-09-01,361932.1666666667,25232.233333333334,10268.5,91.0,81.66666666666667,7.44,69.9,95.7,,85.27777777777777,366578.65833333327,,13.533333333333331,-25.66666666666788,7.04,45.79090909090914
2008-10-01,357768.2,24893.7,10258.3,78.2,77.0,7.8,67.0,95.7,,83.88888888888889,366080.81666666665,,4.5,-468.0,7.12,45.79090909090914
2008-11-01,358082.7,25171.466666666667,9813.733333333334,73.2,65.33333333333333,7.51,63.65,95.7,,80.55555555555556,365533.0027777778,,-19.099999999999994,-372.7666666666664,7.3,45.79090909090914
2008-12-01,358397.2,25449.233333333334,9369.166666666666,68.0,56.0,6.87,62.8,95.7,,75.66666666666667,364935.2166666666,,-23.0,-277.5333333333292,7.44,45.79090909090914
2009-01-01,358711.7,25727.0,8924.6,75.3,51.66666666666666,5.94,61.95,95.7,,69.27777777777777,364287.4583333333,,-2.9000000000000057,-182.29999999999927,7.8,45.79090909090914
2009-02-01,360328.13333333336,25849.766666666663,9077.666666666666,77.0,60.0,5.56,65.45,95.7,,65.27777777777777,363737.3472222223,,3.799999999999997,279.0,7.51,46.17803030303035
2009-03-01,361944.56666666665,25972.533333333333,9230.733333333334,73.3,69.33333333333333,5.48,67.3,95.7,,63.22222222222222,363284.8833333333,,5.299999999999997,740.2999999999993,6.87,46.56515151515155
2009-04-01,363561.0,26095.3,9383.8,93.9,76.0,5.43,63.95,95.7,,63.05555555555555,362930.06666666665,,18.60000000000001,1201.5999999999983,5.94,46.95227272727276
